OTU	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	Size	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
Otu003	3	1	7	0	32	15	0	10	18	30	13	11	0	0	13	0	0	0	11	8	2	1	1	1	0	4	0	3	0	0	2	0	0	1	1	0	1	0	2	7	3	0	0	10	0	1	1	1532	k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu007	1	7	3	2	15	8	4	7	0	3	1	0	0	1	0	0	0	1	0	0	2	2	40	13	0	8	20	7	54	24	5	41	3	6	69	20	1	7	4	2	25	0	0	1	1	14	1	2144	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;unclassified;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu008	1	0	1	0	0	1	0	1	0	28	0	1	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	798	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	-	-	-	-	-	-	-	Unassigned	-
Otu018	0	0	1	1	1	0	55	0	0	1	0	1	3	4	2	11	28	8	4	0	1	1	2	17	0	5	49	9	1	9	68	0	1	2	3	0	0	7	0	0	3	0	11	0	1	0	0	1267	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu019	1	3	4	6	4	11	1	5	9	5	8	5	0	0	1	1	0	0	3	10	0	6	0	0	3	3	1	1	3	2	0	1	3	8	0	3	0	3	1	0	4	1	0	5	1	0	4	709	k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu021	0	8	0	6	0	1	0	7	1	2	2	3	0	0	6	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	5	0	2	0	0	1	3	0	2	493	k__Fungi;p__Ascomycota;c__Sordariomycetes;unclassified;unclassified;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu025	0	3	0	0	0	4	7	0	0	0	0	0	0	0	1	0	11	1	0	0	0	1	0	3	7	1	10	6	0	2	12	1	0	9	0	6	0	5	4	0	2	0	0	8	4	4	7	606	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu026	0	1	0	0	1	0	0	0	0	9	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	5	682	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;unclassified;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu027	0	3	0	1	1	1	0	1	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	5	2	6	5	3	2	3	0	1	0	0	2	0	0	7	0	7	1	0	2	1	2	0	1	401	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu029	0	0	0	0	1	1	2	0	0	1	0	0	23	0	4	0	2	0	5	0	0	0	0	11	0	0	12	1	1	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	507	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu032	0	7	0	0	0	0	0	0	0	1	0	0	6	12	2	11	3	3	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	6	7	0	0	1	5	398	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;unclassified;unclassified;	-	-	-	-	-	-	-	Unassigned	-
Otu035	0	0	0	0	8	2	0	0	0	3	0	0	0	0	0	1	1	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	370	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__unclassified_Xylariales_fam_Incertae_sedis;s__Xylariales_fam_Incertae_sedis_sp;	-	-	-	-	-	-	-	Unassigned	-
